Investor name,Website,Global HQ,Investment thesis,Investor type,Preferred Stages,Cheque Min,Cheque Max
10K Ventures,https://www.10kventures.co/,"Berlin, Germany","We invest in early stage startups and funds globally

Our (Hypo)thesis here 👉
https://10kv.notion.site/The-10KV-Hypo-thesis-c1bf235da3ea426eb79a3a6eabc2b92c",Family office,"['Idea or Patent', 'Prototype', 'Early Revenue']",100000,200000
Accel Partners,https://www.accel.com/,"1 New Burlington Pl, Mayfair, London W1S 2HR, United Kingdom ",,VC,"['Early Revenue', 'Scaling']",,
American Family Ventures,https://www.amfamventures.com/,"821 E Washington Avenue, Madison, WI 53703",We invest in startups focused on the future of insurance from pre-seed to Series B,VC,"['Prototype', 'Early Revenue', 'Scaling', 'Growth']",500000,10000000
Amicus Capital Partners,https://www.amicuscapital.in/,"3rd floor Rocklines House, 9/1 Museum Road, Bangalore 560 001",,Other,[],,
Ankur Capital,https://www.ankurcapital.com/,India,,VC,['Early Revenue'],500000,
Anthill Ventures,https://anthillventures.com/,"18 Cross Street #02-101 Office S2077, Singapore 048423","We invest in companies that are at an early stage and we help in scaling start-ups using the unique network of channel partners we have. We invest in companies in the Health, Urban Consumer and Urban Tech start-up who have a pre revenue stage.",VC,"['Early Revenue', 'Scaling', 'Growth']",500000,10000000
Antler,https://www.antler.co/,"79 Anson Rd, #20-1, Central Business District, Singapore 07, SG",We invest in pre-revenue startups.,VC,"['Prototype', 'Idea or Patent']",100000,100000
Arali Ventures,https://araliventures.in/,"3rd floor, excubator Building, 19th Main, HSR, Bangalore ",We invest in Indian origin/ indian founder startups at prototype stage solving enterprise problems using new-age tech,VC,"['Idea or Patent', 'Prototype', 'Early Revenue']",500000,1000000
Asha Impact,http://ashaimpact.com/,India,,VC,['Early Revenue'],,
Axilor Ventures,http://axilor.com/,"No. 739, 15th Cross, 6th Phase JP Nagar, Sarakki, Bangalore, Karnataka 560078, India","We invest in early-stage startups in India. We focus on Enterprise and Consumer software, Deep tech, Fintech and Healthtech",VC,"['Prototype', 'Early Revenue']",200000,500000
Bessemer Venture Partners,https://www.bvp.com/,"Redwood City, California, United States",,VC,"['Early Revenue', 'Scaling']",,
