Startup_name,Stage,Location,Funding_needs,Funding_type,Business_model,Industry_sector,Milestone
KRUSHIE METALS PRIVATE LIMITED,"Hyderabad, Telangana, India",Cleantech,EarlyTraction,Waste Recycling,?50 L - ?4 Cr INR,Seed / Series A,MVP Launched
KADARIS SOFTWARE SERVICES PRIVATE LIMITED,"Visakhapatnam, Andhra Pradesh, India",IT Services,Prototype,SaaS Solutions,?8 L - ?50 L INR,Pre-seed,Prototype Developed
SAFAL SERVICES,"Mehsana, Gujarat, India",HRTech,Prototype,Recruitment Solutions,?8 L - ?50 L INR,Pre-seed,Prototype Developed
PAHAL RENEWABLE ENERGY LLP,"Surat, Gujarat, India",Cleantech,Scaling,Solar Energy,?4 Cr - ?80 Cr INR,Series A / Series B,Revenue Growth
HWRS LIFE E-COMMERCE MARKETING PRIVATE LIMITED,"New Delhi, Delhi, India",Consumer Internet,Prototype,Food Processing & E-commerce,?8 L - ?50 L INR,Pre-seed,Prototype Developed
Aham Perfumery Private Limited,"Rohtak, Haryana, India",Consumer Goods,EarlyTraction,Fragrance & Home Decor,?50 L - ?4 Cr INR,Seed / Series A,MVP Launched
KEYVO INNOVATIONS PRIVATE LIMITED,"Chandigarh, Chandigarh, India",DeepTech,Prototype,Smart Home Security,?8 L - ?50 L INR,Pre-seed,Prototype Developed
NIRVPAY FINTECH PRIVATE LIMITED,"Hyderabad, Telangana, India",FinTech,Prototype,Payment Solutions & App Development,?8 L - ?50 L INR,Pre-seed,Prototype Developed
AADISIDDHA VENTURES PRIVATE LIMITED,"Raigad, Maharashtra, India",FoodTech,EarlyTraction,Food Processing & Distribution,?50 L - ?4 Cr INR,Seed / Series A,MVP Launched
NEXYUGA INNOVATIONS PRIVATE LIMITED,"Karur, Tamil Nadu, India",EdTech,EarlyTraction,Learning Management Systems,?50 L - ?4 Cr INR,Seed / Series A,MVP Launched
TALENTLO GLOBAL PRIVATE LIMITED,"Lucknow, Uttar Pradesh, India",IT Services,Prototype,IT Consulting & Staffing Solutions,?8 L - ?50 L INR,Pre-seed,Prototype Developed
DEVOIC SKILLTECH & CONSULTANCY PRIVATE LIMITED,"Satna, Madhya Pradesh, India",EdTech,Prototype,Skill Development & Learning Platforms,?8 L - ?50 L INR,Pre-seed,Prototype Developed
DENSEED AGROTECH PRIVATE LIMITED,"Bengaluru Urban, Karnataka, India",AgriTech,EarlyTraction,Precision Farming & Agri Analytics,?50 L - ?4 Cr INR,Seed / Series A,MVP Launched
VASUDAIKA VISIONARY SOLUTIONS PRIVATE LIMITED,"Krishna, Andhra Pradesh, India",IT Services,Prototype,Software & Application Development,?8 L - ?50 L INR,Pre-seed,Prototype Developed
