Name,Location,Industries,Stages,Sectors
SMNOVIDHI PRIVATE LIMITED,"Pune, Maharashtra, India",Construction,EarlyTraction,Construction & Engineering
GITELENET PRIVATE LIMITED,"Patna, Bihar, India",Telecommunication & Networking,Scaling,Others
BIGBROS AI PRIVATE LIMITED,"Agra, Uttar Pradesh, India",Enterprise Software,Prototype,CXM
PITCHXP TECHNOLOGIES PRIVATE LIMITED,"Bengaluru Urban, Karnataka, India",Enterprise Software,Validation,Collaboration
PRAVAAH TECHNOLOGIES,"Jaipur, Rajasthan, India",Transportation & Storage,Prototype,Passenger Transportation Services
KAAYASTHA AI TECHNOLOGY PRIVATE LIMITED,"Purnia, Bihar, India",AI,EarlyTraction,NLP
ANKUR UPADHYAY PROJECT MANAGEMENT CONSULTANT LLP,"Thane, Maharashtra, India",Construction,Validation,Construction & Engineering
NUCLAIC INFO SYSTEMS LLP,"Jaipur, Rajasthan, India",AI,Prototype,NLP
TRINETRAX SOLUTIONS PRIVATE LIMITED,"Krishna, Andhra Pradesh, India",IT Services,Prototype,Application Development
EMKIONYX PRIVATE LIMITED,"Chennai, Tamil Nadu, India",Technology Hardware,EarlyTraction,Embedded
ORGANIYA GLOBAL LLP,"Bharuch, Gujarat, India",Agriculture,EarlyTraction,Food Processing
DREAMBOLIX SOFTWARE SERVICES PRIVATE LIMITED,"Pune, Maharashtra, India",IT Services,Validation,IT Consulting
NEUROPIXELPEAK PRIVATE LIMITED,"Mohali, Punjab, India",Healthcare & Lifesciences,Validation,Assistance Technology
DROOG TECHNOLOGIES PRIVATE LIMITED,"Ernakulam, Kerala, India",AI,Prototype,Machine Learning
PUSHKAR G INDUSTRIES,"Moradabad, Uttar Pradesh, India",Agriculture,EarlyTraction,Food Processing
SANTEWARE HEALTHCARE SOLUTIONS PRIVATE LIMITED,"Bengaluru Urban, Karnataka, India",IT Services,Validation,Product Development
CELESTALIGN INNOVATIONS PRIVATE LIMITED,"Kanyakumari, Tamil Nadu, India",Healthcare & Lifesciences,EarlyTraction,Healthcare Technology
SVADATI LLP,"Chennai, Tamil Nadu, India",Food & Beverages,EarlyTraction,Food Processing
SWARDHARA INNOVATIVE TECHNOLOGIES PRIVATE LIMITED,"Nagpur, Maharashtra, India",Technology Hardware,EarlyTraction,Electronics
LEBRANDSSPACE DIGITAL PRIVATE LIMITED,"Chennai, Tamil Nadu, India",IT Services,EarlyTraction,Application Development
GERMINO AGROTECH,"Sabarkantha, Gujarat, India",Agriculture,Prototype,Horticulture
DYUTABHUMI CASINO CRUISE PRIVATE LIMITED,"Mumbai, Maharashtra, India",Travel & Tourism,Prototype,Others
NGS INFRA ENGINEERINGS PRIVATE LIMITED,"Mumbai, Maharashtra, India",Construction,Prototype,Others
MEDICLOUD GLOBAL PRIVATE LIMITED,"Kanhangad, Kerala, India",Healthcare & Lifesciences,Validation,Healthcare Technology
