NAME,INVESTOR_TYPE,PREFERRED_STARTUP_STAGES,FOCUS_INDUSTRIES,FOCUS_SECTOR,SERVICE_AREAS,INVESTMENT_RANGE,LOCATION,EXISTENCE_SCORE,TYPE_SCORE,INDUSTRY_SCORE,STAGE_SCORE,RANGE_SCORE,LOCATION_SCORE,OVERALL_SCORE,VERDICT,SOURCES,DATE_ADDED,VERIFIED_BY
Indus Equity Partners,Private Equity / Growth,"Scaling, Growth, Pre-IPO",Sector-agnostic,Private Equity,"Capital, Growth Funding",?415 Cr - ?830 Cr INR,"Gurgaon, Haryana, India",0.95 - official website confirmed,0.90 - self-identified PE fund,0.85 - listed as sector agnostic,0.90 - stages confirmed on site,0.50 - range discrepancy found ManualCheckInstruction:,0.95 - HQ location confirmed,0.84,CHECKED_MANUALLY,,23-10-2025,umika
Arkstons Capital,Angel,"Idea or Patent, Prototype, Early Revenue, Scaling, Growth, Pre-IPO","IoT, Fintech, SaaS, Tech, EdTech","Technology, Finance, Education","Syndicate, Angel Investment",?41.5 L - ?4.15 Cr INR,"London, UK",0.95 - active AngelList syndicate,0.95 - confirmed Angel network type,0.95 - industries listed on site,0.95 - all stages listed on site,0.75 - USD range is $50K-$500K,0.95 - HQ location confirmed,0.91,VALID,https://www.openvc.app/fund/Arkstons%20Capital; https://venture.angellist.com/arkstons-capital/syndicate; https://find-and-update.company-information.service.gov.uk/company/11848981,23-10-2025,umika
SurgeDAO,Angel,"Idea or Patent, Prototype","Web3, DeFi, Bitcoin Ecosystem, AI, Decentralized Storage, Modular Thesis","Blockchain, DeFi, AI / ML","Capital, Early-Stage Investment",?8.3 L - ?41.5 L INR,"Noida, Delhi, India",0.95 - investor profile found,0.95 - confirmed Angel network type,0.95 - focus areas confirmed,0.95 - stages confirmed on site,0.95 - USD range matches INR,0.95 - HQ location confirmed,0.95,VALID,https://www.openvc.app/fund/SurgeDAO; https://www.openvc.app/investor-lists/venture-capital-firms-investors-delhi,23-10-2025,umika
Seedventure Limited,Venture Capital,"Early Revenue, Scaling, Growth","IoT, Fintech, SaaS, Tech, EdTech","Technology, Finance, Education",Venture Capital,?83 L - ?8.3 Cr INR,"Essex, United Kingdom",0.95 - company registered UK,0.80 - sources show VC/Angel Group,0.90 - industries listed on site,0.90 - stages confirmed on site,0.75 - USD range $100K-$10M,0.95 - registered office confirmed,0.88,VALID,https://www.openvc.app/fund/Seedventure%20Limited; https://find-and-update.company-information.service.gov.uk/company/14293813; https://pitchbook.com/profiles/investor/540698-32,23-10-2025,umika
Anmol Goel,Angel,"Early Revenue, Scaling",Tech-based Companies,Technology,Angel Investment,?20.75 L - ?83 L INR,"London, UK",0.95 - individual profile found,0.95 - identified as Solo Angel,0.95 - tech focus confirmed,0.95 - stages confirmed on site,0.95 - USD range matches INR,0.95 - HQ location confirmed,0.95,VALID,https://www.openvc.app/fund/Anmol%20Goel; https://southasianherald.com/from-janakpuri-to-the-global-stage-how-anmols-journey-sparked-a-diaspora-driven-investment-movement/; https://www.gacsltd.com/,23-10-2025,umika
Huddle Ventures,Venture Capital,"Ideation, Validation, Early Traction","Climate, Consumer, Commerce","Consumer / D2C, E-commerce, Sustainability","Marketplace, SaaS, Consumer Platforms",?41.5 L - ?83 L INR,"Gurgaon, Haryana, India",0.95 - official website found,0.95 - confirmed as early-stage VC,0.95 - focus areas fully confirmed,0.90 - Pre-Seed/Seed is their focus,0.75 - check size is $500K-$1M,0.95 - HQ location confirmed,0.91,VALID,https://huddleventures.vc/; https://www.openvc.app/fund/Huddle%20Ventures; https://inc42.com/buzz/huddle-ventures-oversubscribed-fund-ii-to-soon-close-at-inr-150-cr/,23-10-2025,umika
CouchPotato,Angel,"Ideation, Validation, Early Traction","SaaS, Fintech, Future of Work, ClimateTech, Developer Tools","Enterprise / B2B SaaS, Financial Infrastructure, WorkTech","Pre-seed Investing, SaaS, Future of Work Platforms",?8.3 L - ?83 L INR,"Bangalore, Karnataka, India",0.95 - investor profile found,0.95 - confirmed as Angel network type,0.95 - focus areas fully confirmed,0.95 - pre-seed/seed focus confirmed,0.90 - check size is $100K max,0.95 - HQ location confirmed,0.94,VALID,https://www.openvc.app/fund/CouchPotato; https://www.openvc.app/blog/funding-stages-pre-seed-series-a; https://www.gacsltd.com/blog,23-10-2025,umika
Shift Left Ventures,Venture Capital,"Ideation, Validation, Early Traction","Enterprise / B2B, Enterprise Software","Enterprise / B2BSaaS, B2B Platforms","SaaS, B2B Growth Enablement",?41.5 L - ?2.075 Cr INR,"Dallas, Texas, USA",0.95 - official website found,0.95 - confirmed as VC firm,0.95 - B2B/Enterprise confirmed,0.90 - pre-seed focus confirmed,0.70 - low-end of reported $100K-300K,0.85 - listed HQ is Plano/Dallas area,0.88,VALID,https://shiftleft.ventures/; https://www.privateequityinternational.com/institution-profiles/shift-left-ventures.html; https://www.svb.com/startup-insights/vc-relations/stages-of-venture-capital,23-10-2025,umika
O2 Angels Network,Angel,"Ideation, Validation, Early Traction, Scaling",DeepTech,"AI / ML, Robotics, Quantum, Advanced Materials","DeepTech Commercialization, SaaS Platforms",?41.5 L - ?4.15 Cr INR,"Noida, India",0.95 - investor profile found,0.95 - confirmed Angel network type,0.90 - primary DeepTech focus confirmed,0.95 - stages confirmed on website,0.95 - USD range matches INR,0.95 - HQ location confirmed,0.94,VALID,https://www.o2angels.net; https://www.openvc.app/fund/O2%20Angels%20Network; https://pitchbook.com/profiles/investor/484415-74,23-10-2025,umika
1 4 All Group,Family Office,"Early Traction, Scaling, Growth","Fintech, Consumer, Healthcare, Energy, IT & Media, Infrastructure","Biotech, Mining Tech, FoodTech, Web3, SaaS","Value Investing, SaaS, Infrastructure Platforms",?83 L - ?1162 Cr INR,"Dubai, UAE",0.50 - no direct source found ManualCheckInstruction:,0.70 - generic Family Office claim,"0.60 - extremely broad, no single source to confirm",0.70 - stages align with mid-market FO,"0.60 - huge range, INR conversion to USD $100Kâ€“$1.4B",0.95 - HQ location confirmed,0.67,CHECKED_MANUALLY,,23-10-2025,umika
Transition VC,Venture Capital,"Validation, Early Traction, Scaling","EV, Renewable Energy, Hydrogen, Energy Storage, Carbon Tech","Electric Mobility, Carbon Capture, Clean Hydrogen","Climate SaaS, EV Platforms, Energy Infrastructure",?20.75 Cr - ?16.6 Cr INR,"Bangalore, India",0.95 - official site confirmed,0.95 - confirmed as VC firm,0.95 - clean energy focus confirmed,0.95 - seed to Series A focus,0.75 - check size is $500K-$1M,0.95 - HQ location confirmed,0.91,VALID,https://www.transitionventurecapital.com/; https://www.openvc.app/fund/Transition%20VC; https://pitchbook.com/profiles/fund/22917-79F; https://www.youtube.com/watch?v=7MGNVE9mbHA,23-10-2025,umika
Cervin Ventures,Venture Capital,"Validation, Early Traction","Enterprise / B2B, Data & AI, Cybersecurity, DevOps, Cloud, Networking","Enterprise / B2B SaaS, Cybersecurity, CloudSaaS, Enterprise Platforms, DevOps Solutions",Venture Capital,?20.75 Cr - ?49.8 Cr INR,"Palo Alto, California, USA",0.95 - official website confirmed,0.95 - exclusively B2B VC,0.95 - detailed sector focus confirmed,0.95 - seed/Series A focus confirmed,0.85 - check size is $200K-$7M,0.95 - HQ location confirmed,0.93,VALID,https://www.cervinventures.com/; https://www.openvc.app/fund/Cervin%20Ventures; https://www.prweb.com/releases/cervin-ventures-raises-162-million-to-invest-in-early-stage-startups-launches-portfolio-services-team-301927557.html,23-10-2025,umika
Fluent Ventures,Venture Capital,"Early Traction, Scaling, Growth","Fintech, Commerce, HealthTech","Commerce, Health Platforms, Financial SaaS","Geographic Arbitrage, SaaS, Cross-Border Commerce",?1.66 Cr - ?16.6 Cr INR,"San Francisco, California, USA",0.95 - official website found,0.95 - confirmed as early-stage VC,0.95 - focus areas fully confirmed,0.95 - post-validation to growth focus,0.80 - check size is $250K-$2M,0.95 - HQ location confirmed,0.93,VALID,https://www.fluent.vc/; https://venturecapitalarchive.com/venture-funds/fluent-ventures-fluentvc-com; https://betakit.com/canadian-founded-san-francisco-based-fluent-ventures-bets-on-global-startups-with-40-million-usd-early-stage-vc-program/,23-10-2025,umika
NGP Capital,Venture Capital,Early Traction,"Enterprise / B2B, Industrial Tech, Cybersecurity, Infrastructure","Industrial IoT, Cybersecurity Platforms, Enterprise AI","B2B SaaS, Enterprise Infrastructure, Industrial Solutions",?41.5 Cr - ?83 Cr INR,"Palo Alto, California, USA",0.95 - official website found,0.95 - confirmed as VC fund,0.95 - focus areas fully confirmed,0.95 - invests from Series A onwards,0.95 - check size is $5M-$15M,0.95 - HQ location confirmed,0.95,VALID,https://www.ngpcap.com/; https://www.openvc.app/fund/NGP%20Capital; https://www.ngpcap.com/contact,23-10-2025,umika
